employer                 ,outstanding months, Name of Fund
Veranu Security                                           , 171 ,  Private Security Sector Provident Fund
Buruma Security and Cleaning                              , 170 ,  Private Security Sector Provident Fund
Executive Risk Consultants (Cape)                         , 170 ,  Private Security Sector Provident Fund
Intense Stowaway Prevention Security                      , 170 ,  Private Security Sector Provident Fund
Sizakancane Security                                      , 170 ,  Private Security Sector Provident Fund
Tlhomphanang Business Enterprise                          , 170 ,  Private Security Sector Provident Fund
Benchmark Security Services                               , 169 ,  Private Security Sector Provident Fund
Emerald Sky Risk Solutions                                , 169 ,  Private Security Sector Provident Fund
G & P Security CC                                         , 169 ,  Private Security Sector Provident Fund
Inexma 124 CC                                             , 169 ,  Private Security Sector Provident Fund
Ml Precision Security Services (Pty) Ltd                  , 169 ,  Private Security Sector Provident Fund
Muhanyisi Trading Enterprise                              , 169 ,  Private Security Sector Provident Fund
Uvovo Trading Enterprise                                  , 169 ,  Private Security Sector Provident Fund
A Marx TA Sun Security                                    , 168 ,  Private Security Sector Provident Fund
Focus on Security (Pty) Ltd                               , 168 ,  Private Security Sector Provident Fund
Mml Security                                              , 168 ,  Private Security Sector Provident Fund
Ngwanakgomo Trading Enterprises (Pty) Ltd                                                       , 168 ,  Private Security Sector Provident Fund
Taurus Protection Services                                , 168 ,  Private Security Sector Provident Fund
Empire Support Management                                 , 167 ,  Private Security Sector Provident Fund
Goeiemans Tiger                                           , 167 ,  Private Security Sector Provident Fund
Joina Security Services                                   , 167 ,  Private Security Sector Provident Fund
New Germany Guarding Services CC                          , 167 ,  Private Security Sector Provident Fund
Peaceforce Security Group (Pty) Ltd                       , 167 ,  Private Security Sector Provident Fund
Premier Security                                          , 167 ,  Private Security Sector Provident Fund
Reaction Patrols                                          , 167 ,  Private Security Sector Provident Fund
Roman Alarms                                              , 167 ,  Private Security Sector Provident Fund
Tshedza Protective Services                               , 167 ,  Private Security Sector Provident Fund
Xhariep                                                   , 166 ,  Municipal Councillors Pension Fund
Goldstate Trading CC                                      , 166 ,  Private Security Sector Provident Fund
Mampose Security and Trading Agency                       , 166 ,  Private Security Sector Provident Fund
Quickfast Security Services                               , 166 ,  Private Security Sector Provident Fund
Ramadimetja Security CC                                   , 166 ,  Private Security Sector Provident Fund
Skona Security Services                                   , 166 ,  Private Security Sector Provident Fund
Ultra Active Force CC                                     , 166 ,  Private Security Sector Provident Fund
Zack`s Business Enterprise                                , 166 ,  Private Security Sector Provident Fund
Be Safe Security Services CC                              , 165 ,  Private Security Sector Provident Fund
Mumbo's Security CC                                       , 165 ,  Private Security Sector Provident Fund
Sihle Security                                            , 165 ,  Private Security Sector Provident Fund
Vukuzenzele multi contractor CC                           , 165 ,  Private Security Sector Provident Fund
Dip Sekuriteit bk                                         , 164 ,  Private Security Sector Provident Fund
GNG Security & Projects                                   , 164 ,  Private Security Sector Provident Fund
Isibonile Security                                        , 164 ,  Private Security Sector Provident Fund
Molale Security Services                                  , 164 ,  Private Security Sector Provident Fund
Odieile Molelo Trading 822 CC                             , 164 ,  Private Security Sector Provident Fund
Ramalepe Security and Cleaning Services – 2042056                                                 , 164 ,  Private Security Sector Provident Fund
Tau - Tona Security                                       , 164 ,  Private Security Sector Provident Fund
City Protection Gauteng (Pty) Ltd                         , 163 ,  Private Security Sector Provident Fund
Mshika Security Services                                  , 163 ,  Private Security Sector Provident Fund
Analytical Risk Management                                , 162 ,  Private Security Sector Provident Fund
Berg Protection Services                                  , 162 ,  Private Security Sector Provident Fund
Capital Security                                          , 162 ,  Private Security Sector Provident Fund
Ingqapheli Security Services                              , 162 ,  Private Security Sector Provident Fund
Inyameko Trading 177CC                                    , 162 ,  Private Security Sector Provident Fund
Phoenix Security                                          , 162 ,  Private Security Sector Provident Fund
Rygate 24hrs Patrol CC                                    , 162 ,  Private Security Sector Provident Fund
Xihlovo Security Trading                                  , 162 ,  Private Security Sector Provident Fund
De Booij Security Services CC                             , 161 ,  Private Security Sector Provident Fund
EMS Emergency Management Services                         , 161 ,  Private Security Sector Provident Fund
JCT Protection Services                                   , 161 ,  Private Security Sector Provident Fund
Transcash Cape Town (Pty) Ltd                             , 161 ,  Private Security Sector Provident Fund
Mentoro Security Services CC                              , 160 ,  Private Security Sector Provident Fund
Redlock Security Services CC                              , 160 ,  Private Security Sector Provident Fund
Rens Security                                             , 160 ,  Private Security Sector Provident Fund
Action Force Klerksdorp                                   , 159 ,  Private Security Sector Provident Fund
Duvha Security Services CC                                , 159 ,  Private Security Sector Provident Fund
Man in One Security                                       , 159 ,  Private Security Sector Provident Fund
Securitas Tactical                                        , 159 ,  Private Security Sector Provident Fund
Funulwazi Protection Services                             , 158 ,  Private Security Sector Provident Fund
N.a Security & Investigations CC PSSPF                    , 158 ,  Private Security Sector Provident Fund
Phiriphiri Security Services                              , 158 ,  Private Security Sector Provident Fund
Quivor Security Services CC                               , 158 ,  Private Security Sector Provident Fund
Raite Securities                                          , 158 ,  Private Security Sector Provident Fund
Sharp Business Services CC                                , 158 ,  Private Security Sector Provident Fund
Sobray                                                    , 158 ,  Private Security Sector Provident Fund
Bay Alarms & Enterprises                                  , 157 ,  Private Security Sector Provident Fund
Millcreek Trading CC                                      , 157 ,  Private Security Sector Provident Fund
Plett Security                                            , 156 ,  Private Security Sector Provident Fund
Scholdisa Security Services                               , 156 ,  Private Security Sector Provident Fund
Takalani Security                                         , 156 ,  Private Security Sector Provident Fund
Changing Tides 208 (Pty) Ltd                              , 155 ,  Private Security Sector Provident Fund
Hafa Security                                             , 155 ,  Private Security Sector Provident Fund
Jonet Security (Pty) Ltd                                  , 155 ,  Private Security Sector Provident Fund
Kolden arrows Security Services CC                        , 155 ,  Private Security Sector Provident Fund
PHP Security Services (Pty) Ltd                           , 155 ,  Private Security Sector Provident Fund
Babelela Security CC                                      , 154 ,  Private Security Sector Provident Fund
Basic Blue Trading 740CC t/a Natpro                       , 154 ,  Private Security Sector Provident Fund
Glocops Security CC                                       , 154 ,  Private Security Sector Provident Fund
Gubevu Security Group (Pty) Ltd                           , 154 ,  Private Security Sector Provident Fund
