employer                 ,outstanding months, Name of Fund

Felix                                                     , 15  , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund

SOS Embroidery                                            , 15  , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund

CDR Contracts (Pty) Ltd                                   , 15  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Hassen Bhyat                                              , 15  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Technochair CC                                            , 15  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
African Soul Footwear (prev Bizzaro Shoe Mnft CC)                                                  , 14  ,  Leather Industry Provident Fund
Caprini Footwear (Pty) Ltd                                , 14  ,  Leather Industry Provident Fund
Mass Hire Limpopo (Pty) Ltd                               , 14  ,  Old Mutual Superfund Pension Fund
Loots Safe Movers (Pty) Ltd                               , 14  ,  Old Mutual Superfund Provident Fund
MykaTrade342 CC                                           , 14  ,  Old Mutual Superfund Provident Fund
Trend Engineering (Pty) Ltd                               , 14  ,  Old Mutual Superfund Provident Fund
Impendle                                                  , 14  ,  Municipal Councillors Pension Fund
Tip Top Bakery                                            , 14  ,  SACCAWU National Provident Fund
Meat Supply                                               , 14  ,  SACCAWU National Provident Fund
Cape Quarter Spar                                         , 14  ,  SACCAWU National Provident Fund
Mamusa                                                    , 14  ,  Municipal Workers’ Retirement Fund
Amazwe Cleaners and Trading                               , 14  ,  Private Security Sector Provident Fund
Bhamzin Security Services (Pty) Ltd t/a bhamzin Trading                                           , 14  ,  Private Security Sector Provident Fund
Capital Ship Trading 605                                  , 14  ,  Private Security Sector Provident Fund
Escort Guarding Protection                                , 14  ,  Private Security Sector Provident Fund
Henque 3961 CC                                            , 14  ,  Private Security Sector Provident Fund
High Caliber Security                                     , 14  ,  Private Security Sector Provident Fund
Intozomlilo Trading and Projects t/a intozomlilo Security Services                             , 14  ,  Private Security Sector Provident Fund
K2015154291 (South Africa)                                , 14  ,  Private Security Sector Provident Fund
L T C holding ta LTC Security                             , 14  ,  Private Security Sector Provident Fund
LSN Security Services (Pty) Ltd                           , 14  ,  Private Security Sector Provident Fund
Mancinza Civil Contractors and Road ta V Power Security                                            , 14  ,  Private Security Sector Provident Fund
Mantis Risk Solutions                                     , 14  ,  Private Security Sector Provident Fund
Mlusile                                                   , 14  ,  Private Security Sector Provident Fund
Mpambanyoni Investigations (Pty) Ltd t/a Executive Neighbourhood Services                          , 14  ,  Private Security Sector Provident Fund
Perbro Group (Pty) Ltd                                    , 14  ,  Private Security Sector Provident Fund
Pilgrim Business Holdings ta Pilgrim Protection Services                                       , 14  ,  Private Security Sector Provident Fund
Techno Security Force (Pty) Ltd                           , 14  ,  Private Security Sector Provident Fund
Topdem Security and Projects                              , 14  ,  Private Security Sector Provident Fund
VB and Sons Security Services                             , 14  ,  Private Security Sector Provident Fund
Watchdog Security                                         , 14  ,  Private Security Sector Provident Fund

Retex (Knitting)                                          , 14  , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund2
Nobles Transport CC                                       , 14  ,  SARPBAC Retirement Fund
Mofago Supermarket                                        , 13  ,  SACCAWU National Provident Fund
Tokologo                                                  , 13  ,  Municipal Workers’ Retirement Fund

Pather and Pather Attorneys                               , 13  , Corporate Selection Umbrella Retirement  Fund No 2
Abc Compu Security Systems CC                             , 13  ,  Private Security Sector Provident Fund
Alcari 433                                                , 13  ,  Private Security Sector Provident Fund
BCC Wealth (Pty) Ltd t/a Ihlo Security Management                                                , 13  ,  Private Security Sector Provident Fund
Black Operations Security Solutions (Pty) Ltd t/a Black Ops                                         , 13  ,  Private Security Sector Provident Fund
Black Torres 96 CC                                        , 13  ,  Private Security Sector Provident Fund
Bonang Security Services                                  , 13  ,  Private Security Sector Provident Fund
Engle Trading Enterprise                                  , 13  ,  Private Security Sector Provident Fund
Global 247 Security Services t/a gss                      , 13  ,  Private Security Sector Provident Fund
Ilembe Security (Pty) Ltd                                 , 13  ,  Private Security Sector Provident Fund
Kearabilwe Security Services                              , 13  ,  Private Security Sector Provident Fund
L molema Security                                         , 13  ,  Private Security Sector Provident Fund
Laibero Trading CC t/a laibero Security Services                                                  , 13  ,  Private Security Sector Provident Fund
Lupenyo Security Services                                 , 13  ,  Private Security Sector Provident Fund
Mzamondabe (Pty) Ltd                                      , 13  ,  Private Security Sector Provident Fund
Ndate Bbonga Projects                                     , 13  ,  Private Security Sector Provident Fund
Satenga Security Services t/a Satenga Trading and Projects                                      , 13  ,  Private Security Sector Provident Fund
Special duty Unit (Pty) Ltd ta SDU                        , 13  ,  Private Security Sector Provident Fund
Ugebhezi Security                                         , 13  ,  Private Security Sector Provident Fund
ZNC Investments (Pty) Ltd ta ZNC Risk Management Specialist                                     , 13  ,  Private Security Sector Provident Fund

Drewmach                                                  , 13  , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund

Retex Clothing                                            , 13  , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund

Fitting (Pty) Ltd                                         , 13  , Bargaining Council for the Furniture First-rate Home Improvements and Shop                              Manufacturing Industry of the Western  Cape Provident Fund

Ltd                                                       , 13  , Bargaining Council for the Furniture Foam and More Upholstery Supplies (Pty)                            Manufacturing Industry of the Western  Cape Provident Fund

AXP Manufacturing (Pty) Ltd                               , 13  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

K N S Upholstery Solutions (Pty) Ltd                      , 13  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Tito Trans CC                                             , 13  ,  SARPBAC Retirement Fund
Smith S Saddlery & Repair Depot                           , 12  ,  Leather Industry Provident Fund
Pule Pula General Trading (Pty) Ltd                       , 12  ,  Old Mutual Superfund Pension Fund
Febnet Investments (Pty) Ltd                              , 12  ,  Old Mutual Superfund Pension Fund
HT Pelatona Projects (Pty) Ltd                            , 12  ,  Old Mutual Superfund Provident Fund
Marais Foods CC t/a Nandos                                , 12  ,  Old Mutual Superfund Provident Fund
Myertal Tactical Security (Pty) Ltd                       , 12  ,  Old Mutual Superfund Provident Fund
Overton International Trade (Pty) Ltd t/a Italcotto                                                 , 12  ,  Old Mutual Superfund Provident Fund
Tshwaraganang & Associates CC                             , 12  ,  Old Mutual Superfund Provident Fund
Inxuba yethemba                                           , 12  ,  Municipal Councillors Pension Fund
Moretele                                                  , 12  ,  Municipal Councillors Pension Fund
Ramotshere moiloa                                         , 12  ,  Municipal Councillors Pension Fund
National Data Systems (Pty) Ltd                           , 12  ,  SACCAWU National Provident Fund
Kraaines Garden Centre-kraaines Interior- Emslie Furniture and Barleda farm                         , 12  ,  SACCAWU National Provident Fund
Ermelo Superspar                                          , 12  ,  SACCAWU National Provident Fund
Abasizi Services Group                                    , 12  ,  Private Security Sector Provident Fund
Camsec El CC t/a Camsec                                   , 12  ,  Private Security Sector Provident Fund
Central Executive Networks Hrs                            , 12  ,  Private Security Sector Provident Fund
Detect Safety and Security                                , 12  ,  Private Security Sector Provident Fund
Dimo le Dikwena Security Services ta dd Security Services                                         , 12  ,  Private Security Sector Provident Fund
Divergent Security ta Divergent Ops                       , 12  ,  Private Security Sector Provident Fund
Elshonte Security Services                                , 12  ,  Private Security Sector Provident Fund
Ex-co Security                                            , 12  ,  Private Security Sector Provident Fund
Flatmont Enterprise (Pty) Ltd t/a Flatmont Security                                                  , 12  ,  Private Security Sector Provident Fund
Gac Risk Solutions                                        , 12  ,  Private Security Sector Provident Fund
Gambu-W Security & Cleaning Services                      , 12  ,  Private Security Sector Provident Fund
Guidline Management ta Federal Group                      , 12  ,  Private Security Sector Provident Fund
Harpy Security                                            , 12  ,  Private Security Sector Provident Fund
Indwe Security (Pty) Ltd                                  , 12  ,  Private Security Sector Provident Fund
Jabari Armed Response CC                                  , 12  ,  Private Security Sector Provident Fund
Lethu Link (Pty) Ltd                                      , 12  ,  Private Security Sector Provident Fund
Mjayeli Security Services                                 , 12  ,  Private Security Sector Provident Fund
Mtyeswana Security Service                                , 12  ,  Private Security Sector Provident Fund
Nikao Protection Services                                 , 12  ,  Private Security Sector Provident Fund
PTR Consulting                                            , 12  ,  Private Security Sector Provident Fund
Quick Bopha Security                                      , 12  ,  Private Security Sector Provident Fund
Qyrhana Security and Cleaning Services CC                                                        , 12  ,  Private Security Sector Provident Fund
Sebushi Security and Trading                              , 12  ,  Private Security Sector Provident Fund
Sedibeng Protection                                       , 12  ,  Private Security Sector Provident Fund
Sehlukene Security and Cleaning Projects                  , 12  ,  Private Security Sector Provident Fund
Simanye Security Services                                 , 12  ,  Private Security Sector Provident Fund
Swa Miswazi Busines Enterprise CC                         , 12  ,  Private Security Sector Provident Fund
Zizi Security Services (Pty) Ltd                          , 12  ,  Private Security Sector Provident Fund

Shalkim Manufacturers CC                                  , 12  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Buraaq beds CC                                            , 12  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

The Woodhouse Manufacturing (Pty) Ltd                     , 12  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Urban Upholstery Solutions (Pty) Ltd                      , 12  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Frans Busdiens Bpk                                        , 12  ,  SARPBAC Retirement Fund
Worcester Golf Club                                       , 11  ,  SACCAWU National Provident Fund
Kai-Garib                                                 , 11  ,  Municipal Workers’ Retirement Fund

Robert Baichan Financial Services CC                      , 11  , Corporate Selection Umbrella Retirement  Fund No 2
Alvin Ganase Security CC                                  , 11  ,  Private Security Sector Provident Fund
Aumap Holdings (Pty) Ltd                                  , 11  ,  Private Security Sector Provident Fund
Bankveld Estate - Home Owners Association                                               , 11  ,  Private Security Sector Provident Fund
Blackpearl Solutions                                      , 11  ,  Private Security Sector Provident Fund
Busiso Contracting CC Trading as Mfezi Security Richards Bay Ait                                 , 11  ,  Private Security Sector Provident Fund
CRA Merketing (Pty) Ltd                                   , 11  ,  Private Security Sector Provident Fund
Foto Security Services t/a Foto Security                  , 11  ,  Private Security Sector Provident Fund
Habi Ever Excellent Cleaning and Security Service                                                   , 11  ,  Private Security Sector Provident Fund
Injabulo Trading                                          , 11  ,  Private Security Sector Provident Fund
Justicia Investigations (Pty) Ltd                         , 11  ,  Private Security Sector Provident Fund
Linda Intergrated Security                                , 11  ,  Private Security Sector Provident Fund
Mahosi Protection Services                                , 11  ,  Private Security Sector Provident Fund
Mmapula Security Services and Projects                    , 11  ,  Private Security Sector Provident Fund
NazCare                                                   , 11  ,  Private Security Sector Provident Fund
Nice Flower Trading 53                                    , 11  ,  Private Security Sector Provident Fund
Phefumola SM (Pty) Ltd ta Phefumola SM Security Services                                         , 11  ,  Private Security Sector Provident Fund
Qhawe 1804 Trading t/a Qhawe Security Services                                                  , 11  ,  Private Security Sector Provident Fund
R 15 Security Services                                    , 11  ,  Private Security Sector Provident Fund
SMA Security Cape Town                                    , 11  ,  Private Security Sector Provident Fund
Stoneford Country Estate                                  , 11  ,  Private Security Sector Provident Fund
Thabzo Security Services                                  , 11  ,  Private Security Sector Provident Fund
The A Team task Force                                     , 11  ,  Private Security Sector Provident Fund
Umbono Security CC                                        , 11  ,  Private Security Sector Provident Fund
Zondubuvila Trading CC                                    , 11  ,  Private Security Sector Provident Fund

Liuch Trading                                             , 11  , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund

Micah Kitchens CC                                         , 11  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Spartan Foam CC                                           , 11  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Stag Bow Merchandise (Pty) Ltd                            , 11  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Chair Up Upholstery (Pty) Ltd                             , 11  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Aero Natal (Pty) Ltd                                      , 10  ,  Old Mutual Superfund Pension Fund
Maria Jose de Gouveia t/a Overland Hyper LTX                                                       , 10  ,  Old Mutual Superfund Pension Fund
Mme re ka Thusa Trust Fund                                , 10  ,  Old Mutual Superfund Pension Fund
Tau Klipspruit (Pty) Ltd                                  , 10  ,  Old Mutual Superfund Pension Fund
Barrs Medical (Pty) Ltd                                   , 10  ,  Old Mutual Superfund Provident Fund
Blue Water Truck Hire (Pty) Ltd                           , 10  ,  Old Mutual Superfund Provident Fund
James Ronald Williams t/a Soiltech Letaba                 , 10  ,  Old Mutual Superfund Provident Fund
Rennie Farms (Pty) Ltd                                    , 10  ,  Old Mutual Superfund Provident Fund
Kgetleng River                                            , 10  ,  Municipal Councillors Pension Fund
Pick 'n Pay Family Supermarket Bara City                  , 10  ,  SACCAWU National Provident Fund
Makanyane Safari Lodge                                    , 10  ,  SACCAWU National Provident Fund
Ikondile Civils                                           , 10  ,  SACCAWU National Provident Fund
Mohokare                                                  , 10  ,  Municipal Workers’ Retirement Fund

Dr Beyers Naude Municipality                              , 10  , Consolidated Retirement Fund for Local  Government
Dr Beyers Naude Local Municipality                        , 10  ,  National Fund for Municipal Workers
Achievers 805                                             , 10  ,  Private Security Sector Provident Fund
Amantshilibe Trading                                      , 10  ,  Private Security Sector Provident Fund
Badisa Armed Response                                     , 10  ,  Private Security Sector Provident Fund
Bella Security Services (Pty) Ltd                         , 10  ,  Private Security Sector Provident Fund
Crimeops                                                  , 10  ,  Private Security Sector Provident Fund
Da Champ Distribution t/a Da Champ Security Services                                         , 10  ,  Private Security Sector Provident Fund
Ditaba CCTV & Guarding Solutions                          , 10  ,  Private Security Sector Provident Fund
Divergent Guarding ta Divergent Ops                       , 10  ,  Private Security Sector Provident Fund
Dyncorp Holdings ta Dyncorp Protection Services                                                  , 10  ,  Private Security Sector Provident Fund
Est Response & Security Services                          , 10  ,  Private Security Sector Provident Fund
Kees Beyers chocolates t/a Fixed Wage Laborers                                                  , 10  ,  Private Security Sector Provident Fund
KRA Security and Projects                                 , 10  ,  Private Security Sector Provident Fund
Maghty G Security CC                                      , 10  ,  Private Security Sector Provident Fund
Nama-Khosi-San Security and General Services                                                  , 10  ,  Private Security Sector Provident Fund
Nhlalenhle Electronics t/a Nhlalenhle                     , 10  ,  Private Security Sector Provident Fund
NN Alarm Systems CC                                       , 10  ,  Private Security Sector Provident Fund
NZ Risk Management CC                                     , 10  ,  Private Security Sector Provident Fund
Oos-Kaap Sekuriteit Bpk                                   , 10  ,  Private Security Sector Provident Fund
Phuthumajabu Construction and Projects                    , 10  ,  Private Security Sector Provident Fund
Power Trans Import and Export t/a Section One Protection Services                                   , 10  ,  Private Security Sector Provident Fund
Ramatsie Protection Services (Pty) Ltd                    , 10  ,  Private Security Sector Provident Fund
RB Electrical Supplies ta National Security               , 10  ,  Private Security Sector Provident Fund
Red Hawks Army Protection Projects                        , 10  ,  Private Security Sector Provident Fund
Seek Security                                             , 10  ,  Private Security Sector Provident Fund
Sibakulu Trading (Pty) Ltd                                , 10  ,  Private Security Sector Provident Fund
Stoa Business Solutions                                   , 10  ,  Private Security Sector Provident Fund
Taurus Protection Services                                , 10  ,  Private Security Sector Provident Fund
Tsunami Protection Services                               , 10  ,  Private Security Sector Provident Fund
Van Eck Consulting Services                               , 10  ,  Private Security Sector Provident Fund
Water Berry Trading 61 CC                                 , 10  ,  Private Security Sector Provident Fund
Winzybee Protection and Projects                          , 10  ,  Private Security Sector Provident Fund

Li Feng Textiles                                          , 10  , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund

M. Dolley (CB)                                            , 10  , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund

Reapso                                                    , 10  , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund

Saphi (Knitting)                                          , 10  , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund

De Wet Tech Kitchens CC                                   , 10  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

HTB Harry's House (Pty) Ltd                               , 10  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Indec Group (Pty) Ltd                                     , 10  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Delport Cabinetry Cut & Edge CC                           , 10  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Alto Door Manufacturers CC                                , 10  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Mathilda Pretorius                                        , 10  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Baywear Clothing (Pty) Ltd                                , 9   ,  Old Mutual Superfund Pension Fund
Nkonki KZN Pension Fund                                   , 9   ,  Old Mutual Superfund Pension Fund
Enslins Senekal Inc                                       , 9   ,  Old Mutual Superfund Provident Fund
Mntambo Financial Consulting CC                           , 9   ,  Old Mutual Superfund Provident Fund
Mpojele General Trader & Projects (Pty) Ltd                                                       , 9   ,  Old Mutual Superfund Provident Fund
Volkers Appliances CC                                     , 9   ,  SACCAWU National Provident Fund
Voltex (Pty) Ltd                                          , 9   ,  SACCAWU National Provident Fund
Leo Superkos CC                                           , 9   ,  SACCAWU National Provident Fund
Pick 'n Pay Goldman                                       , 9   ,  SACCAWU National Provident Fund

Latjis Transport Services (Pty) Ltd                       , 9   , Corporate Selection Umbrella Retirement  Fund No 2
Alexander Force (Pty) Ltd                                 , 9   ,  Private Security Sector Provident Fund
Ankhesiwe (Pty) Ltd t/a the Brave Security Services                                                  , 9   ,  Private Security Sector Provident Fund
Avignon Homeowners association                            , 9   ,  Private Security Sector Provident Fund
Bakamawisa Security and Projects ta MLN Security Services                                         , 9   ,  Private Security Sector Provident Fund
Bilane Security CC                                        , 9   ,  Private Security Sector Provident Fund
Cacadu Security Services (Pty) Ltd                        , 9   ,  Private Security Sector Provident Fund
Excalibur Security Services                               , 9   ,  Private Security Sector Provident Fund
Gaqa Security Maintenance and Cleaning Services                                                  , 9   ,  Private Security Sector Provident Fund
Guardmax (Pty) Ltd                                        , 9   ,  Private Security Sector Provident Fund
Hazhackney Advanced Trading                               , 9   ,  Private Security Sector Provident Fund
Impolompolo Protection and Training Services ta Impolompolo Security                          , 9   ,  Private Security Sector Provident Fund
IP Dynamics (Pty) Ltd                                     , 9   ,  Private Security Sector Provident Fund
Isakhiwo Networks (Pty) Ltd t/a Isakhiwo Networks Protection Services                              , 9   ,  Private Security Sector Provident Fund
Judy and Newie Projects (Pty) Ltd t/a J & N Protection                                                , 9   ,  Private Security Sector Provident Fund
Khesande Security Services                                , 9   ,  Private Security Sector Provident Fund
Khobi Security                                            , 9   ,  Private Security Sector Provident Fund
Kno Security and Supply Services (Pty) Ltd                , 9   ,  Private Security Sector Provident Fund
Leshaga Protection Services                               , 9   ,  Private Security Sector Provident Fund
Nedtex 422 CC                                             , 9   ,  Private Security Sector Provident Fund
Njoloba Security Services                                 , 9   ,  Private Security Sector Provident Fund
Prestige Security Services matatiele                      , 9   ,  Private Security Sector Provident Fund
Sanchoweb (Pty) Ltd                                       , 9   ,  Private Security Sector Provident Fund
Sinemibono Security Primary Co-operative Limited t/a Sinemibono Security primary coop                                                      , 9   ,  Private Security Sector Provident Fund
Skyewatch Security                                        , 9   ,  Private Security Sector Provident Fund
Sondiya Protection Services                               , 9   ,  Private Security Sector Provident Fund
Striving Mind Trading 519                                 , 9   ,  Private Security Sector Provident Fund
Toverify (Pty) Ltd                                        , 9   ,  Private Security Sector Provident Fund
Transport Protection Services                             , 9   ,  Private Security Sector Provident Fund
Unified Risk Management CC                                , 9   ,  Private Security Sector Provident Fund
W and R Security                                          , 9   ,  Private Security Sector Provident Fund
Wise Guy Academy t/a Wise guy Security Training Academy                                          , 9   ,  Private Security Sector Provident Fund

Dew Office                                                , 9   , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund

Morgan Pillay Cloth                                       , 9   , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund

Phoenix Industrial & Safety Su                            , 9   , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund

Seema Printing                                            , 9   , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund

Mitch Kitchens CC                                         , 9   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Good Knight Bedding (Pty) Ltd                             , 9   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Market Your Business CC                                   , 9   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

QH Exclusive Furnishers (Pty) Ltd                         , 9   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Double Stars Trading 66 CC                                , 9   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Rink van Kleef                                            , 9   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Modellers of Antique Furniture (Pty) Ltd                  , 9   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Nu-Scotland Timber Sales CC                               , 9   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Hyperland Bela Bela                                       , 8   ,  SACCAWU National Provident Fund

Rua Construction and Projects (Pty) Ltd                   , 8   , Corporate Selection Umbrella Retirement  Fund No 2
Botlhale le Boneilwe Trading Enterprise                   , 8   ,  Private Security Sector Provident Fund
Brincor                                                   , 8   ,  Private Security Sector Provident Fund
Bullet Proof Unit                                         , 8   ,  Private Security Sector Provident Fund
Chairman Projects and Security Services t/a Chairman Security Services                            , 8   ,  Private Security Sector Provident Fund
Control and Detection Security                            , 8   ,  Private Security Sector Provident Fund
Dephethogo Trading                                        , 8   ,  Private Security Sector Provident Fund
Eyesotope Solutions t/a Eyesotopes                        , 8   ,  Private Security Sector Provident Fund
Fastrak Trading 75 CC                                     , 8   ,  Private Security Sector Provident Fund
Gatalenna Holdings                                        , 8   ,  Private Security Sector Provident Fund
General Siphiwe Security advisory                         , 8   ,  Private Security Sector Provident Fund
Global Security Services and Training (Pty) Ltd                                                       , 8   ,  Private Security Sector Provident Fund
Guard Pro Asset Protection t/a Guard Pro                  , 8   ,  Private Security Sector Provident Fund
Infinite Prospects 160 CC                                 , 8   ,  Private Security Sector Provident Fund
Izingwenya 210 Investments CC                             , 8   ,  Private Security Sector Provident Fund
Kgori Security Services CC t/a Bafana Security Services, Cleaners & Private Investation                                               , 8   ,  Private Security Sector Provident Fund
Kings Protection Services (Pty) Ltd                       , 8   ,  Private Security Sector Provident Fund
Kuselani Security Services CC                             , 8   ,  Private Security Sector Provident Fund
LCD technologies                                          , 8   ,  Private Security Sector Provident Fund
LPS Corporate Security Services                           , 8   ,  Private Security Sector Provident Fund
Macado Technologies                                       , 8   ,  Private Security Sector Provident Fund
Market Demand Trading 608 (Pty) Ltd t/a Culive                                                    , 8   ,  Private Security Sector Provident Fund
Muzi Hlongwane Security (Pty) Ltd                         , 8   ,  Private Security Sector Provident Fund
Mzazi Protection Services                                 , 8   ,  Private Security Sector Provident Fund
Mzunqaba Security and Cleaning Services                   , 8   ,  Private Security Sector Provident Fund
NSA and Associates (Pty) Ltd                              , 8   ,  Private Security Sector Provident Fund
Onarmor Security                                          , 8   ,  Private Security Sector Provident Fund
Pivotal Security (Pty) Ltd t/a pivotal Security                                                  , 8   ,  Private Security Sector Provident Fund
Qhaphela Group                                            , 8   ,  Private Security Sector Provident Fund
Safety Leaders Security Primary Co- operative Limited                                         , 8   ,  Private Security Sector Provident Fund
Secusol (Pty) Ltd                                         , 8   ,  Private Security Sector Provident Fund
Selaki Security Services and Projects                     , 8   ,  Private Security Sector Provident Fund
Sha'an technologies                                       , 8   ,  Private Security Sector Provident Fund
Tarmix Trading and Projects CC                            , 8   ,  Private Security Sector Provident Fund
The CCs Group                                             , 8   ,  Private Security Sector Provident Fund
Thubalethu Security CC                                    , 8   ,  Private Security Sector Provident Fund
Tshira Tshashu Trading Enterprise                         , 8   ,  Private Security Sector Provident Fund
Z Guard (Pty) Ltd                                         , 8   ,  Private Security Sector Provident Fund

A.E. Barlow (D&N)                                         , 8   , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund

Moaparankwe                                               , 8   , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund

Batsumi Projects                                          , 8   , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund

Cecil Nurse (Pty) Ltd                                     , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Pro-design Distributors CC                                , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

K R Maintenance CC                                        , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Offix Office Furniture CC                                 , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Texra (Pty) Ltd                                           , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Chocolate Box interiors CC                                , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Woodlam (Pty) Ltd                                         , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Zwidulo (Pty) Ltd                                         , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Has Been Office Furniture (Pty) Ltd                       , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

R.I. Lipovec                                              , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Designer Projects Palace (Pty) Ltd                        , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

The Cupboardtree (Pty) Ltd                                , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

EC Woodworth (Pty) Ltd                                    , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Lifestyle Kitchens CC                                     , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Furniture Factory Outlet (Pty) Ltd                        , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Furnworx Logistics (Pty) Ltd                              , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

G. Bell                                                   , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Board King (Pty) Ltd                                      , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Dawie Janse van Vuuren                                    , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Linea Classica Furniture Manufacturers CC                 , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Sinuous Lines Design (Pty) Ltd                            , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Unique Shelf 09 CC                                        , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Advidata Trading 663 CC                                   , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Carel Greeff                                              , 8   , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
New Era Commerce (Pty) Ltd                                , 8   ,  Discovery Life Provident Umbrella Fund
Carlton Hair Gauteng (Pty) Ltd                            , 7   ,  Old Mutual Superfund Pension Fund
Carlton Hair (Cape Town) (Pty) Ltd                        , 7   ,  Old Mutual Superfund Pension Fund
Carlton Hair Durban (Pty) Ltd                             , 7   ,  Old Mutual Superfund Pension Fund
